metro,state,latitude,longitude
United States,,39.8283,-98.5795
New York,NY,40.7128,-74.0060
Los Angeles,CA,34.0522,-118.2437
Chicago,IL,41.8781,-87.6298
Dallas,TX,32.7767,-96.7970
Houston,TX,29.7604,-95.3698
Washington,DC,38.9072,-77.0369
Philadelphia,PA,39.9526,-75.1652
Miami,FL,25.7617,-80.1918
Atlanta,GA,33.7490,-84.3880
Boston,MA,42.3601,-71.0589
Phoenix,AZ,33.4484,-112.0740
San Francisco,CA,37.7749,-122.4194
Riverside,CA,33.9806,-117.3755
Detroit,MI,42.3314,-83.0458
Seattle,WA,47.6062,-122.3321
Minneapolis,MN,44.9778,-93.2650
San Diego,CA,32.7157,-117.1611
Tampa,FL,27.9506,-82.4572
Denver,CO,39.7392,-104.9903
Baltimore,MD,39.2904,-76.6122
St. Louis,MO,38.6270,-90.1994
Charlotte,NC,35.2271,-80.8431
Orlando,FL,28.5383,-81.3792
San Antonio,TX,29.4241,-98.4936
Portland,OR,45.5155,-122.6789
Sacramento,CA,38.5816,-121.4944
Pittsburgh,PA,40.4406,-79.9959
Las Vegas,NV,36.1699,-115.1398
Austin,TX,30.2672,-97.7431
Cincinnati,OH,39.1031,-84.5120
Kansas City,MO,39.0997,-94.5786
Columbus,OH,39.9612,-82.9988
Indianapolis,IN,39.7684,-86.1581
Cleveland,OH,41.4993,-81.6944
Nashville,TN,36.1627,-86.7816
Virginia Beach,VA,36.8529,-75.9780
Providence,RI,41.8240,-71.4128
Milwaukee,WI,43.0389,-87.9065
Jacksonville,FL,30.3322,-81.6557
Oklahoma City,OK,35.4676,-97.5164
Raleigh,NC,35.7796,-78.6382
Memphis,TN,35.1495,-90.0490
Richmond,VA,37.5407,-77.4360
Buffalo,NY,42.8864,-78.8784
Salt Lake City,UT,40.7608,-111.8910
Rochester,NY,43.1566,-77.6088
Grand Rapids,MI,42.9634,-85.6681
Tucson,AZ,32.2226,-110.9747
Urban Honolulu,HI,21.3069,-157.8583
Fresno,CA,36.7378,-119.7871
Worcester,MA,42.2626,-71.8023
Albuquerque,NM,35.0844,-106.6504
Omaha,NE,41.2565,-95.9345
Albany,NY,42.6526,-73.7562
New Orleans,LA,29.9511,-90.0715
Bakersfield,CA,35.3733,-119.0187
Knoxville,TN,35.9606,-83.9207
Ogden,UT,41.2230,-111.9738
Allentown,PA,40.6084,-75.4902
Baton Rouge,LA,30.4515,-91.1871
McAllen,TX,26.2034,-98.2300
Dayton,OH,39.7589,-84.1916
Columbia,SC,34.0007,-81.0348
Greensboro,NC,36.0726,-79.7920
Akron,OH,41.0814,-81.5190
Little Rock,AR,34.7465,-92.2896
Stockton,CA,37.9577,-121.2908
Colorado Springs,CO,38.8339,-104.8214
Charleston,SC,32.7765,-79.9311
Syracuse,NY,43.0481,-76.1474
Winston-Salem,NC,36.0999,-80.2442
Greenville,SC,34.8526,-82.3940
Wichita,KS,37.6872,-97.3301
Cape Coral,FL,26.5629,-81.9495
Boise City,ID,43.6150,-116.2023
Springfield,MA,42.1015,-72.5898
Toledo,OH,41.6639,-83.5552
Lakeland,FL,28.0395,-81.9498
Madison,WI,43.0731,-89.4012
